10 MM - II,20 MM - II,CEMENT OPC GRADE 43,CEMENT OPC GRADE 53,CEMENT PPC,CRUSHED STONE SAND II,FLY ASH,GGBS,GRADE,NATURAL SAND-COARSE,NATURAL SAND-FINE,RMC ADMX - HIGH PC,RMC ADMX - MID PC,SLUMP / FLOW,WATER,W/C,BLEND_OPC+GGBS,BLEND_OPC+PFA,BLEND_OPC+PFA+GGBS,BLEND_PPC,BLEND_PPC+GGBS,BLEND_PPC+PFA,BLEND_PPC+PFA+GGBS,DISTANCE_Medium,DISTANCE_Short,SPECIFIED SLUMP_175,SPECIFIED SLUMP_225,SPECIFIED SLUMP_25 ± 15,SPECIFIED SLUMP_75
588.286,587.429,0.0,0.0,254.714,0.0,135.571,0.0,25,705.571,0.0,0.0,1.694,130,141.151,0.3616613500390741,0,0,0,0,0,1,0,1,0,0,0,0,0
369.385,812.154,0.0,297.692,0.0,0.0,99.231,0.0,30,718.308,0.0,0.0,2.282,170,149.982,0.3778617011359886,0,1,0,0,0,0,0,0,0,0,0,0,0
612.143,611.143,0.0,165.0,0.0,0.0,98.429,66.571,25,739.143,0.0,0.0,1.404,120,133.393,0.4042212121212121,0,0,1,0,0,0,0,1,0,0,0,0,0
616.2,614.2,0.0,221.6,0.0,0.0,102.8,68.8,30,726.8,0.0,0.0,1.688,120,137.118,0.3487232960325534,0,0,1,0,0,0,0,1,0,0,0,0,0
584.429,581.714,0.0,165.0,0.0,0.0,101.429,65.714,25,765.714,0.0,0.0,1.391,150,161.436,0.4860436619167046,0,0,1,0,0,0,0,1,0,0,0,0,0
572.0,546.25,0.0,218.5,0.0,387.5,103.75,68.0,30,385.25,0.0,0.0,2.138,120,132.063,0.3384061499039077,0,0,1,0,0,0,0,1,0,1,0,0,0
611.714,613.571,0.0,164.429,0.0,0.0,98.857,65.857,25,749.0,0.0,0.0,1.663,120,127.123,0.3862242247290691,0,0,1,0,0,0,0,1,0,0,0,0,0
634.0,631.143,0.0,259.286,0.0,0.0,118.571,0.0,30,786.0,0.0,2.286,0.0,140,142.126,0.3761370042105877,0,1,0,0,0,0,0,1,0,0,0,0,0
687.143,542.571,0.0,0.0,169.429,0.0,134.571,0.0,20,750.429,0.0,0.0,1.1,140,143.36,0.4715789473684211,0,0,0,0,0,1,0,1,0,0,0,0,0
593.429,594.286,0.0,209.714,0.0,0.0,127.286,85.286,35,696.0,0.0,0.0,1.801,150,134.516,0.3185424096465428,0,0,1,0,0,0,0,1,0,0,0,0,0
793.667,0.0,0.0,399.167,0.0,0.0,0.0,160.333,40,728.5,0.0,2.508,0.0,400,223.725,0.3998659517426273,1,0,0,0,0,0,0,1,0,0,1,0,0
742.286,434.286,0.0,0.0,278.857,0.0,119.857,0.0,30,682.714,0.0,0.0,1.996,140,150.073,0.3763926022161248,0,0,0,0,0,1,0,1,0,0,0,0,0
602.0,700.25,0.0,219.0,0.0,0.0,103.75,69.5,30,703.5,0.0,0.0,2.09,170,158.53,0.4041555130656469,0,0,1,0,0,0,0,1,0,1,0,0,0
591.286,593.286,0.0,210.0,0.0,0.0,126.0,85.714,35,699.714,0.0,0.0,1.796,150,124.291,0.2947281807101495,0,0,1,0,0,0,0,1,0,0,0,0,0
